,Name,Brand,Colour,url,clean_text,tokenized,stopwords_removed,combined_postag_wnet,lemmatize_word_w_pos,lemmatize_text
0,ASOS DESIGN oversized stripe t-shirt in light blue with Chicago chest print,ASOS DESIGN,LIGHT BLUE,images.asos-media.com/products/asos-design-oversized-stripe-t-shirt-in-light-blue-with-chicago-chest-print/202362881-1-lightblue,asos design oversized stripe tshirt in light blue with chicago chest print,"['asos', 'design', 'oversized', 'stripe', 'tshirt', 'in', 'light', 'blue', 'with', 'chicago', 'chest', 'print']","['asos', 'design', 'oversized', 'stripe', 'tshirt', 'light', 'blue', 'chicago', 'chest', 'print']","[('asos', 'n'), ('design', 'n'), ('oversized', 'n'), ('stripe', 'n'), ('tshirt', 'n'), ('light', 'a'), ('blue', 'a'), ('chicago', 'n'), ('chest', 'n'), ('print', 'n')]","['asos', 'design', 'oversized', 'stripe', 'tshirt', 'light', 'blue', 'chicago', 'chest', 'print']",asos design oversized stripe tshirt light blue chicago chest print
1,Revolution Skincare Blemish 2% Salicylic Acid Mask,Revolution Skincare,No colour,images.asos-media.com/products/revolution-skincare-blemish-2-salicylic-acid-mask/21501593-1-nocolour,revolution skincare blemish 2 salicylic acid mask,"['revolution', 'skincare', 'blemish', '2', 'salicylic', 'acid', 'mask']","['revolution', 'skincare', 'blemish', '2', 'salicylic', 'acid', 'mask']","[('revolution', 'n'), ('skincare', 'n'), ('blemish', 'n'), ('2', 'n'), ('salicylic', 'n'), ('acid', 'n'), ('mask', 'n')]","['revolution', 'skincare', 'blemish', '2', 'salicylic', 'acid', 'mask']",revolution skincare blemish 2 salicylic acid mask
2,ASOS DESIGN retro square sunglasses in black plastic with smoke lens - BLACK,ASOS DESIGN,BLACK,images.asos-media.com/products/asos-design-retro-square-sunglasses-in-black-plastic-with-smoke-lens-black/201344313-1-black,asos design retro square sunglasses in black plastic with smoke lens  black,"['asos', 'design', 'retro', 'square', 'sunglasses', 'in', 'black', 'plastic', 'with', 'smoke', 'lens', 'black']","['asos', 'design', 'retro', 'square', 'sunglasses', 'black', 'plastic', 'smoke', 'lens', 'black']","[('asos', 'n'), ('design', 'n'), ('retro', 'n'), ('square', 'n'), ('sunglasses', 'n'), ('black', 'a'), ('plastic', 'n'), ('smoke', 'n'), ('lens', 'n'), ('black', 'a')]","['asos', 'design', 'retro', 'square', 'sunglass', 'black', 'plastic', 'smoke', 'lens', 'black']",asos design retro square sunglass black plastic smoke lens black
3,ASOS DESIGN 90s mini oval glasses in black with red lens,ASOS DESIGN,Black,images.asos-media.com/products/asos-design-90s-mini-oval-glasses-in-black-with-red-lens/22453139-1-black,asos design 90s mini oval glasses in black with red lens,"['asos', 'design', '90s', 'mini', 'oval', 'glasses', 'in', 'black', 'with', 'red', 'lens']","['asos', 'design', '90s', 'mini', 'oval', 'glasses', 'black', 'red', 'lens']","[('asos', 'n'), ('design', 'n'), ('90s', 'n'), ('mini', 'n'), ('oval', 'n'), ('glasses', 'n'), ('black', 'a'), ('red', 'a'), ('lens', 'n')]","['asos', 'design', '90', 'mini', 'oval', 'glass', 'black', 'red', 'lens']",asos design 90 mini oval glass black red lens
4,ASOS DESIGN relaxed shirt in aztec multi colour print,ASOS DESIGN,MULTI,images.asos-media.com/products/asos-design-relaxed-shirt-in-aztec-multi-colour-print/201781916-1-multi,asos design relaxed shirt in aztec multi colour print,"['asos', 'design', 'relaxed', 'shirt', 'in', 'aztec', 'multi', 'colour', 'print']","['asos', 'design', 'relaxed', 'shirt', 'aztec', 'multi', 'colour', 'print']","[('asos', 'n'), ('design', 'n'), ('relaxed', 'n'), ('shirt', 'n'), ('aztec', 'n'), ('multi', 'n'), ('colour', 'n'), ('print', 'n')]","['asos', 'design', 'relaxed', 'shirt', 'aztec', 'multi', 'colour', 'print']",asos design relaxed shirt aztec multi colour print
5,ASOS DESIGN shirt in retro white and blue stripe,ASOS DESIGN,BLUE,images.asos-media.com/products/asos-design-shirt-in-retro-white-and-blue-stripe/201590626-1-blue,asos design shirt in retro white and blue stripe,"['asos', 'design', 'shirt', 'in', 'retro', 'white', 'and', 'blue', 'stripe']","['asos', 'design', 'shirt', 'retro', 'white', 'blue', 'stripe']","[('asos', 'n'), ('design', 'n'), ('shirt', 'n'), ('retro', 'n'), ('white', 'a'), ('blue', 'a'), ('stripe', 'n')]","['asos', 'design', 'shirt', 'retro', 'white', 'blue', 'stripe']",asos design shirt retro white blue stripe
6,Revolution Skincare Pearlescent Purple Bakuchiol Smoothing Undereye patches,Revolution Skincare,NO COLOUR,images.asos-media.com/products/revolution-skincare-pearlescent-purple-bakuchiol-smoothing-undereye-patches/201480495-1-nocolour,revolution skincare pearlescent purple bakuchiol smoothing undereye patches,"['revolution', 'skincare', 'pearlescent', 'purple', 'bakuchiol', 'smoothing', 'undereye', 'patches']","['revolution', 'skincare', 'pearlescent', 'purple', 'bakuchiol', 'smoothing', 'undereye', 'patches']","[('revolution', 'n'), ('skincare', 'n'), ('pearlescent', 'n'), ('purple', 'a'), ('bakuchiol', 'n'), ('smoothing', 'n'), ('undereye', 'n'), ('patches', 'n')]","['revolution', 'skincare', 'pearlescent', 'purple', 'bakuchiol', 'smoothing', 'undereye', 'patch']",revolution skincare pearlescent purple bakuchiol smoothing undereye patch
7,ASOS DESIGN slim tie in dark rose,ASOS DESIGN,PINK,images.asos-media.com/products/asos-design-slim-tie-in-dark-rose/202929753-1-pink,asos design slim tie in dark rose,"['asos', 'design', 'slim', 'tie', 'in', 'dark', 'rose']","['asos', 'design', 'slim', 'tie', 'dark', 'rose']","[('asos', 'n'), ('design', 'n'), ('slim', 'a'), ('tie', 'n'), ('dark', 'a'), ('rose', 'n')]","['asos', 'design', 'slim', 'tie', 'dark', 'rose']",asos design slim tie dark rose
8,Levi's 512 slim taper jeans in light blue wash,Levi's,MID BLUE,images.asos-media.com/products/levis-512-slim-taper-jeans-in-light-blue-wash/202990889-1-midblue,levis 512 slim taper jeans in light blue wash,"['levis', '512', 'slim', 'taper', 'jeans', 'in', 'light', 'blue', 'wash']","['levis', '512', 'slim', 'taper', 'jeans', 'light', 'blue', 'wash']","[('levis', 'n'), ('512', 'n'), ('slim', 'a'), ('taper', 'v'), ('jeans', 'n'), ('light', 'a'), ('blue', 'a'), ('wash', 'v')]","['levi', '512', 'slim', 'taper', 'jean', 'light', 'blue', 'wash']",levi 512 slim taper jean light blue wash
9,ASOS DESIGN wedding super skinny suit jacket in navy micro texture,ASOS DESIGN,NAVY,images.asos-media.com/products/asos-design-wedding-super-skinny-suit-jacket-in-navy-micro-texture/201000838-1-navy,asos design wedding super skinny suit jacket in navy micro texture,"['asos', 'design', 'wedding', 'super', 'skinny', 'suit', 'jacket', 'in', 'navy', 'micro', 'texture']","['asos', 'design', 'wedding', 'super', 'skinny', 'suit', 'jacket', 'navy', 'micro', 'texture']","[('asos', 'n'), ('design', 'n'), ('wedding', 'n'), ('super', 'a'), ('skinny', 'n'), ('suit', 'n'), ('jacket', 'n'), ('navy', 'n'), ('micro', 'n'), ('texture', 'n')]","['asos', 'design', 'wedding', 'super', 'skinny', 'suit', 'jacket', 'navy', 'micro', 'texture']",asos design wedding super skinny suit jacket navy micro texture
